Title,Description
ast_hvm_QspiMasterInit()," LLR-tbd The function ast_qspi_hvm_run() shall update the hvTerminalVoltage by calling readHVTerminalVoltage(). ,LLR-tbd The function shall update the dcLinkVoltage by calling readDCLinkVoltage().  ,initialize QSPI Master module config by calling IfxQspi_SpiMaster_initModuleConfig(),set the maximum baudrate,configure RxFIFO mode in Batch move,update pin configuration,initialize QSPI master module by calling customized function ast_IfxQspi_SpiMaster_initModule(),create channel config by calling IfxQspi_SpiMaster_initChannelConfig(),update SLS output configuration,initialize channel config by calling customized function ast_IfxQspi_SpiMaster_initChannel()  "
ast_init_ccu6safetyclearance," LLR-tbd The function ast_qspi_hvm_run() shall update the hvTerminalVoltage by calling readHVTerminalVoltage(). ,LLR-tbd The function shall update the dcLinkVoltage by calling readDCLinkVoltage().  ,initialise CCU6 Icu module config by calling IfxCcu6_Icu_initModuleConfig(),Overriding the following default parameters
frequency with SAFTEY_CLEARANCE_CCU6_PWM_FREQ
period with SAFTEY_CLEARANCE_CCU6_PERIOD
clock.extClockEnabled with FALSE
countMode with IfxCcu6_T12CountMode_edgeAligned
counterValue with 0

,configure the above configuration by calling IfxCcu6_Icu_initModule(),initialise CCU6 Icu channel config calling IfxCcu6_Icu_initChannelConfig(),Overriding the following default parameters
channelId with IfxCcu6_T12Channel_1
channelMode with IfxCcu6_T12ChannelMode_doubleRegisterCaptureRisingAndFalling
update pin configuration using CC60In pin ICU_SC_COUNT_INPUT
multiInputCaptureEnabled with FALSE

,configure the above configuration by calling IfxCcu6_Icu_initChannel(),start capture by calling IfxCcu6_Icu_startCapture  "
ast_init_ccu6safetyclearance()," LLR-tbd The function ast_qspi_hvm_run() shall update the hvTerminalVoltage by calling readHVTerminalVoltage(). ,LLR-tbd The function shall update the dcLinkVoltage by calling readDCLinkVoltage().  ,initialise CCU6 Icu module config by calling IfxCcu6_Icu_initModuleConfig(),Overriding the following default parameters
frequency with SAFTEY_CLEARANCE_CCU6_PWM_FREQ
period with SAFTEY_CLEARANCE_CCU6_PERIOD
clock.extClockEnabled with FALSE
countMode with IfxCcu6_T12CountMode_edgeAligned
counterValue with 0

,configure the above configuration by calling IfxCcu6_Icu_initModule(),initialise CCU6 Icu channel config calling IfxCcu6_Icu_initChannelConfig(),Overriding the following default parameters
channelId with IfxCcu6_T12Channel_1
channelMode with IfxCcu6_T12ChannelMode_doubleRegisterCaptureRisingAndFalling
update pin configuration using CC60In pin ICU_SC_COUNT_INPUT
multiInputCaptureEnabled with FALSE

,configure the above configuration by calling IfxCcu6_Icu_initChannel(),start capture by calling IfxCcu6_Icu_startCapture  "
ast_qspi_hvm_init," LLR-tbd The function ast_qspi_hvm_run() shall update the hvTerminalVoltage by calling readHVTerminalVoltage(). ,LLR-tbd The function shall update the dcLinkVoltage by calling readDCLinkVoltage().  ,Byte 1: 0xAB,Byte 2: 0xEF,Byte 3: 0x56,Byte 4: 0x12 In case of error during the SPI write , the following error handling shall be performed (TBD) The maximum number of attempts to perform the unlock sequence shall be 3. After unlocking the function shall check the LOCK bit in register PROTSTAT to be 0 and return TRUE else FALSE Note :The Registers SYSPCFG0, SYSPCFG1, WDCFG0, WDCFG1, FWDCFG, WWDCFG0, WWDCFG1 can be written into after the Unlock sequence is successful.  "
ast_qspi_hvm_init()," LLR-tbd The function ast_qspi_hvm_run() shall update the hvTerminalVoltage by calling readHVTerminalVoltage(). ,LLR-tbd The function shall update the dcLinkVoltage by calling readDCLinkVoltage().  ,Byte 1: 0xAB,Byte 2: 0xEF,Byte 3: 0x56,Byte 4: 0x12 In case of error during the SPI write , the following error handling shall be performed (TBD) The maximum number of attempts to perform the unlock sequence shall be 3. After unlocking the function shall check the LOCK bit in register PROTSTAT to be 0 and return TRUE else FALSE Note :The Registers SYSPCFG0, SYSPCFG1, WDCFG0, WDCFG1, FWDCFG, WWDCFG0, WWDCFG1 can be written into after the Unlock sequence is successful.  "
ast_qspi_hvm_run," LLR-tbd The function ast_qspi_hvm_run() shall update the hvTerminalVoltage by calling readHVTerminalVoltage(). ,LLR-tbd The function shall update the dcLinkVoltage by calling readDCLinkVoltage().  ,Byte 1: 0xAB,Byte 2: 0xEF,Byte 3: 0x56,Byte 4: 0x12 In case of error during the SPI write , the following error handling shall be performed (TBD) The maximum number of attempts to perform the unlock sequence shall be 3. After unlocking the function shall check the LOCK bit in register PROTSTAT to be 0 and return TRUE else FALSE Note :The Registers SYSPCFG0, SYSPCFG1, WDCFG0, WDCFG1, FWDCFG, WWDCFG0, WWDCFG1 can be written into after the Unlock sequence is successful.  "
ast_qspi_hvm_run(),"LLR-tbd The function shall update the dcLinkVoltage by calling readDCLinkVoltage().  ,Byte 1: 0xAB,Byte 2: 0xEF,Byte 3: 0x56,Byte 4: 0x12 In case of error during the SPI write , the following error handling shall be performed (TBD) The maximum number of attempts to perform the unlock sequence shall be 3. After unlocking the function shall check the LOCK bit in register PROTSTAT to be 0 and return TRUE else FALSE Note :The Registers SYSPCFG0, SYSPCFG1, WDCFG0, WDCFG1, FWDCFG, WWDCFG0, WWDCFG1 can be written into after the Unlock sequence is successful.  "
readHVTerminalVoltage(),"LLR-tbd The function shall update the dcLinkVoltage by calling readDCLinkVoltage().  ,Byte 1: 0xAB,Byte 2: 0xEF,Byte 3: 0x56,Byte 4: 0x12 In case of error during the SPI write , the following error handling shall be performed (TBD) The maximum number of attempts to perform the unlock sequence shall be 3. After unlocking the function shall check the LOCK bit in register PROTSTAT to be 0 and return TRUE else FALSE Note :The Registers SYSPCFG0, SYSPCFG1, WDCFG0, WDCFG1, FWDCFG, WWDCFG0, WWDCFG1 can be written into after the Unlock sequence is successful.  "
readDCLinkVoltage()," LLR-tbd The Function ccu6_icu_capture_run() shall call monitor_safetyclearance_signal(). ,LLR-tbd The Function shall update the integrity violation based on monitor_safetyclearance_signal() return. ,Byte 1: 0xAB,Byte 2: 0xEF,Byte 3: 0x56,Byte 4: 0x12 In case of error during the SPI write , the following error handling shall be performed (TBD) The maximum number of attempts to perform the unlock sequence shall be 3. After unlocking the function shall check the LOCK bit in register PROTSTAT to be 0 and return TRUE else FALSE Note :The Registers SYSPCFG0, SYSPCFG1, WDCFG0, WDCFG1, FWDCFG, WWDCFG0, WWDCFG1 can be written into after the Unlock sequence is successful.  "
ast_vadc_run," LLR-tbd The Function ccu6_icu_capture_run() shall call monitor_safetyclearance_signal(). ,LLR-tbd The Function shall update the integrity violation based on monitor_safetyclearance_signal() return. ,Byte 1: 0xAB,Byte 2: 0xEF,Byte 3: 0x56,Byte 4: 0x12 In case of error during the SPI write , the following error handling shall be performed (TBD) The maximum number of attempts to perform the unlock sequence shall be 3. After unlocking the function shall check the LOCK bit in register PROTSTAT to be 0 and return TRUE else FALSE Note :The Registers SYSPCFG0, SYSPCFG1, WDCFG0, WDCFG1, FWDCFG, WWDCFG0, WWDCFG1 can be written into after the Unlock sequence is successful.  "
ast_vadc_run()," LLR-tbd The Function ccu6_icu_capture_run() shall call monitor_safetyclearance_signal(). ,LLR-tbd The Function shall update the integrity violation based on monitor_safetyclearance_signal() return. ,Byte 1: 0xAB,Byte 2: 0xEF,Byte 3: 0x56,Byte 4: 0x12 In case of error during the SPI write , the following error handling shall be performed (TBD) The maximum number of attempts to perform the unlock sequence shall be 3. After unlocking the function shall check the LOCK bit in register PROTSTAT to be 0 and return TRUE else FALSE Note :The Registers SYSPCFG0, SYSPCFG1, WDCFG0, WDCFG1, FWDCFG, WWDCFG0, WWDCFG1 can be written into after the Unlock sequence is successful.  "
backgroundscan_all_adc_channels," LLR-tbd The Function ccu6_icu_capture_run() shall call monitor_safetyclearance_signal(). ,LLR-tbd The Function shall update the integrity violation based on monitor_safetyclearance_signal() return. ,Byte 1: 0xAB,Byte 2: 0xEF,Byte 3: 0x56,Byte 4: 0x12 In case of error during the SPI write , the following error handling shall be performed (TBD) The maximum number of attempts to perform the unlock sequence shall be 3. After unlocking the function shall check the LOCK bit in register PROTSTAT to be 0 and return TRUE else FALSE Note :The Registers SYSPCFG0, SYSPCFG1, WDCFG0, WDCFG1, FWDCFG, WWDCFG0, WWDCFG1 can be written into after the Unlock sequence is successful.  "
backgroundscan_all_adc_channels()," LLR-tbd The Function ccu6_icu_capture_run() shall call monitor_safetyclearance_signal(). ,LLR-tbd The Function shall update the integrity violation based on monitor_safetyclearance_signal() return. ,Byte 1: 0xAB,Byte 2: 0xEF,Byte 3: 0x56,Byte 4: 0x12 In case of error during the SPI write , the following error handling shall be performed (TBD) The maximum number of attempts to perform the unlock sequence shall be 3. After unlocking the function shall check the LOCK bit in register PROTSTAT to be 0 and return TRUE else FALSE Note :The Registers SYSPCFG0, SYSPCFG1, WDCFG0, WDCFG1, FWDCFG, WWDCFG0, WWDCFG1 can be written into after the Unlock sequence is successful.  "
calc_qspi_frame_parity," LLR-tbd The Function ccu6_icu_capture_run() shall call monitor_safetyclearance_signal(). ,LLR-tbd The Function shall update the integrity violation based on monitor_safetyclearance_signal() return. ,Byte 1: 0xAB,Byte 2: 0xEF,Byte 3: 0x56,Byte 4: 0x12 In case of error during the SPI write , the following error handling shall be performed (TBD) The maximum number of attempts to perform the unlock sequence shall be 3. After unlocking the function shall check the LOCK bit in register PROTSTAT to be 0 and return TRUE else FALSE Note :The Registers SYSPCFG0, SYSPCFG1, WDCFG0, WDCFG1, FWDCFG, WWDCFG0, WWDCFG1 can be written into after the Unlock sequence is successful.  "
iwdt_qspi_frame_t," LLR-tbd The Function ccu6_icu_capture_run() shall call monitor_safetyclearance_signal(). ,LLR-tbd The Function shall update the integrity violation based on monitor_safetyclearance_signal() return. ,Byte 1: 0xAB,Byte 2: 0xEF,Byte 3: 0x56,Byte 4: 0x12 In case of error during the SPI write , the following error handling shall be performed (TBD) The maximum number of attempts to perform the unlock sequence shall be 3. After unlocking the function shall check the LOCK bit in register PROTSTAT to be 0 and return TRUE else FALSE Note :The Registers SYSPCFG0, SYSPCFG1, WDCFG0, WDCFG1, FWDCFG, WWDCFG0, WWDCFG1 can be written into after the Unlock sequence is successful.  "
calculate_motor_currents," LLR-tbd The Function ccu6_icu_capture_run() shall call monitor_safetyclearance_signal(). ,LLR-tbd The Function shall update the integrity violation based on monitor_safetyclearance_signal() return. ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
calculate_motor_torque," LLR-tbd The Function ccu6_icu_capture_run() shall call monitor_safetyclearance_signal(). ,LLR-tbd The Function shall update the integrity violation based on monitor_safetyclearance_signal() return. ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
calculate_switching_state," LLR-tbd The Function ccu6_icu_capture_run() shall call monitor_safetyclearance_signal(). ,LLR-tbd The Function shall update the integrity violation based on monitor_safetyclearance_signal() return. ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
calculate_switching_state()," LLR-tbd The Function ccu6_icu_capture_run() shall call monitor_safetyclearance_signal(). ,LLR-tbd The Function shall update the integrity violation based on monitor_safetyclearance_signal() return. ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
ccu6_icu_capture_run," LLR-tbd The Function ccu6_icu_capture_run() shall call monitor_safetyclearance_signal(). ,LLR-tbd The Function shall update the integrity violation based on monitor_safetyclearance_signal() return. ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
ccu6_icu_capture_run(),"LLR-tbd The Function shall update the integrity violation based on monitor_safetyclearance_signal() return. ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
monitor_safetyclearance_signal(),"LLR-tbd The Function shall update the integrity violation based on monitor_safetyclearance_signal() return. ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
monitor_safetyclearance_signal()," LLR-tbd The Function check_changing_edge_timeout() shall check if the signal is always low. ,LLR-tbd The Function shall check if the signal is always high.  ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
check_changing_edge_timeout," LLR-tbd The Function check_changing_edge_timeout() shall check if the signal is always low. ,LLR-tbd The Function shall check if the signal is always high.  ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
check_changing_edge_timeout(),"LLR-tbd The Function shall check if the signal is always high.  ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
check_falling_edge_to_early," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
check_falling_edge_to_early()," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
check_rising_edge_to_early," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
check_rising_edge_to_early()," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
check_T12_Counter_Reset," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
check_T12_Counter_Reset()," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
contactor_coil_plausibility_check," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
contactor_coil_plausibility_check()," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
convert_adc_digits_to_voltage," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
convert_adc_digits_to_voltage()," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
convert_ccu6counts_into_ms," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
convert_ccu6counts_into_ms()," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
convertAdcToVoltage," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
convertAdcToVoltage()," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
cyclic_test_run," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
cyclic_test_run()," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
dcrelay_test_run," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
dcrelay_test_run()," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
dcrelay_wait_for_debounce," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
dcrelay_wait_for_debounce()," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
dcrelaytimer_update," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
dcrelaytimer_update()," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
deactivate_dc_relay," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
deactivate_dc_relay()," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
deactivation_sequence_run," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
deactivation_sequence_run()," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
deactivationFailed_state_cyclicrun," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
deactivationFailed_state_cyclicrun()," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
determine_motorcurrent_value_validity," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
failsafe_state_cyclicrun," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
failsafe_state_cyclicrun()," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
fetch_adc_result," LLR-tbd The function shall return current Iq, LLR-tbd The function shall return current Iq ,The main contact is closed when the auxiliary normal open contact is closed and the auxiliary normal contact is OPEN,The main contact is open when the auxiliary normal open contact is open and the auxiliary normal contact is CLOSED,In all other cases the main contact has UNDEFINED state. "
